,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
55,oAtVoCPiK5YRPL9D0vUTKIZr-ur8Bp0rXUe5iC5MrcPyisEUAwgdrDC27Q,cHH2ZrVJs3krGDuVojX5ED1oR0cpqjhzh3nodqd7pPHU-C2nufsuiCV0,A4n3I2NERESjFv2vv-84DJOXJNu57jFeH-037GV9ldt7foK39etr9f7y64FDBCkWSRWstjx-HC1ctw,insung,5170,1681691928034,95
56,CbS6lsHQ0yggwFkMiuB-OL08QjMyuAdQebt1h69KQnBaooQLgTqx3DcibQ,vBKeFSRgXUgyz_XQyNEnKsVO1MiTD7askrcrZd_cCgKmeSjRmNWqNhKB,FAIf8GIO8marXTk-FT_h9CzoM3SmvoINHWRaUMGF_c0Kvi9DN_-2E3cVo-3KBDSw7EtVckwf2wWUNA,Isles LFT 2,3008,1681669002000,130
57,hNN2omgo6gvnGgJJNtL43NBz-11Q18S5dYVbgE2DtOvCUrA,FgclxDQoFlnP1E0mTx8-0oM5aSwK_VRZoZXWmIXdaBCGPwM,ynXrqS1qg8Ba6Vn9Vy02BtNg8Hy5dArCc7TGvbTSp51OUseaXOLFQ30qkoVgANWU0Iu0Sd8osSmuyA,EmbraceLife,3521,1681719278448,307
58,gQKRFoJQ2H-vXfSnDnPrm2JgkX5g65TJNhRamsYJ334B21o,41yWFAvDnzMdVvQwQESqFFKkGaR497DG2RsWt9MMix98jg,bEMtACfh_1ST6JcVL0HkUM4JYHnO6wCLMC6OWj5oAglcJjmDPoEYOFReF4hRneZl2oeMZiOEvYU3Ug,gg wtf,5626,1681646289000,394
59,5kpldYsOWejcw8RThlAzcJfKSlOgdzFBj_hVJ4ym5pPNBjXmfAVKiAfA0w,L9l_ht_Qy4lIqtPVXENSm4MbW93lXl2P_oSzEqdKt-Q_vZS3OCBuJCrQ,9Xy5MANNDuo8yN2mwuz4i0JWz0STtYzbEpu7U16k82899yCUz3RIZ82LeZN8vvDR33LqJ77eeMjP2Q,bellacu,5675,1681557470000,52
60,-3_qAem68BUH8DeMc_uvnFwX7Rn9Vy-xIakJZDGzZGk8CoU,zHPW8T5hJZKlJe8YFkWHB3toU9hWbbvEf4DqvmcK5EofEkc,iafqxMiwoLVNRT49sz6hhXJsVWNrdCp2CGxSEwx7z-U-dWQzrUCFT9zhnNJNt4BP675J2-dwGi950g,The Tank Man,1298,1681673379589,644
61,9Sn8KnBkVV-zh8_Lp-cYV0T72IonETfI_H_Y2Jxmb-bp1Yi-,II-hUPxdIpKLuqPhKh_qzR3F37_VUln7Pd44IlOXVKDBo2Ac8NAIofP_,T4qNCvOa5b78UE6_cmSxAajvECPu3AraSiWQtqQ9YcEv_o1E8c6XEfgoH4pj1582L9SsClH7kNmw6Q,Iinks,5743,1681719549978,396
62,I9EkKpDWqFlX32A0oP9fTTF8TinbRli4_s9Rp9ZYCDD3S_8,R369gL_P2dlZaN3OBTvyY0xrcvaZucjQkYGM35BDu_DdORE,amQ8FhFKs0_J9pH1WKjXVGvye94SdOzjZ8RdTmU7ch4EjORVLJtg8RITjb3J0fwjkcOrigeLg8dHgg,XTN Scenari0,4760,1681628068000,297
63,WE5Mi3qzy8Cx7OudX52AyHvfGWpnwRDB6FFeqthDWR9gKRcn,4YED1KNfXCoUb1ogXvzyI6sIxIQG9IW2YNVrnYURZmDpqXxxJ3qcESOJ,18eP8KawpJU40-uYThuvDyGtXhs1eluCVxX5bg13bCqdjiXa3byh9pIYIElOqmLEybtZhEw5Dprewg,FATE999,5742,1681710543467,904
64,2DX7yUS3qhJPcXzO1c0cDuDreFUsvx0Qm8XY_n_0j-zUHgY,zFJ3PrEfbhRESKeYkszvlXRhluqYYwReDT-YxSMMhQpOpA,eMIIFtx7qaqYzYroVak7utJ7MN0kOmEkfsGxv7KysNEmkc5YrIIZnqu-tA4f96G5rpUtXK_cVdNaPA,Bazz B,4161,1681709900429,584
65,WUBoiSbI0X-VQmUaW9gUNNK2tLqR5RgcsKyjcoX2PgXT04o,0K1frqf0MabcAoDX0ya2RqYPf912zRXZds2PU1bJ7JjLuQ,lDos5v3vMUQGJXAJJ3bxc5SnPk1OVomsvRUL3_wVImgiByp93YJFyiOgHtHKGxeIavnt8xSUXckArA,Pockus,5249,1681608614000,693
66,424xR1LiGNoda9JoII5no-Sgxi-3USA0iunqHyYfOkHFZXU,5BJOuMv94HUfgiJGU0d_csjabX1WGG08NIe6MQzGDL0hbog,LunfIcCCQpBYwfyPKfaXSI1zyLk27Gjn0yIqS-4k_fshaIzt1VF2eEADniXZ2WItKuLbfzBhWwfQXw,Decøy,5585,1681692126000,930
67,mfnnJpgpikOzBhmJSH4DWE305y4rS6pBHOzMl2X19df1OEw,CuVrav86HkvzJoEA8wMl3GseQ_Nr_8D6U9NMvwNzQ_GgMfo,AGQw81DMBor4dwpkd2pVarMoApXVOep6MtpruN5_zTvZOvaIo5V4VIiOLiz1XyATKcEEbVNCSOwv9Q,톱 왕,1135,1681721147492,144
68,KukPYGY5OlMOt_XrdKVfmA0dHcHukzHDBZDeNACcl07vQdQ,x2IPsLSkhTLtgDT0vfswU10_zKWLOHj5LtoATiY37zfAXeU,6laYaqpShUuKljiqyGKUXMFIdJgxnyUwdXi9vIEImdVo8T4cnRZkkLjWvQGl2FwNtxKUvASXSzWzdQ,MONSTER CHAD GOD,4965,1681711327558,814
69,e9HMrpaCNR19nTg8zh1kGLDb06acj-7KuxOAL4G33JfrgYN7,XmMXxBOg2k3iGxaRDWvc9phj2-FP3kYA452Tv5UrAHQk4FLhx3KcoLJi,1dkiqljxs7NFVyD9Ok0Ww6Xv4MaoeRO5OhIiW2Wfuq3M1NsArlvtQsq2cYe45g4ZKDLVSSrtz7P7HA,Dragowski,5169,1681605268000,179
70,LXVR1dfAuugwxZnryc1F5lF9iAtQckTUfgXygwcGFt_DEKU,dsr_FybJbDoRTbIW_jDuvTXAl-xF7Bjx_aFfCTwalP45Zg,cCnFBgPusV6_468sNESp_XIqKT37gLxQzrtADWckO40wxwEwV-wrmKwTtwsJdvFI2YPhjs9CpZZgig,Nightmisty,4804,1681720782638,805
71,Gi4HMVQ0uAhqMU7efIiMszOPQjb-Sf73LiNqbiuBgN8P_2s,avA8OYczpG0kFiJtzkwNlm1C2UKP4ns2oatXG32tQcq9tDg,QzimTUVY5waIbs2ZsWeYuClyYuYigvwO_NVVhUh-1fMq1Cll6OkD0fcRvjv3bVek6RZaiv6qvp-dzg,1 def,5435,1681717483632,436
