,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
96,NA1_4620906331,Malphite,Hecarim,Jayce,Xayah,Lulu,Mordekaiser,RekSai,Yone,Jhin,Xerath,True
97,NA1_4628762192,Irelia,JarvanIV,Cassiopeia,Twitch,Milio,Illaoi,Kindred,Syndra,Xayah,Thresh,False
98,NA1_4626385850,Chogath,Udyr,Yone,Aphelios,Nautilus,Sion,Viego,Swain,KogMaw,Lux,True
99,NA1_4624180435,Malphite,Tristana,Gragas,Ezreal,Yuumi,Jayce,Evelynn,Zed,Aphelios,Braum,True
100,NA1_4620712925,Riven,Nunu,Pantheon,Vayne,Janna,Rumble,Gragas,Zed,Kaisa,Amumu,False
101,NA1_4623251228,Gragas,Kindred,Katarina,Xayah,Rakan,Yorick,LeeSin,Syndra,Jinx,Pyke,False
102,NA1_4629232210,Irelia,Talon,Akali,Xayah,Karma,Renekton,Ekko,Pantheon,Jinx,Leona,True
103,NA1_4624556050,Jax,Ivern,Zed,Swain,Morgana,KSante,Kindred,Taliyah,Aphelios,Lux,True
104,NA1_4627205020,Riven,Kayn,Cassiopeia,Zeri,Rakan,Darius,Gragas,Yasuo,Seraphine,Pyke,True
105,NA1_4632209462,Ashe,Rammus,Sion,Leblanc,Veigar,Zoe,Kindred,Draven,Blitzcrank,Sett,False
106,NA1_4622801695,Singed,Graves,Leblanc,MissFortune,Rakan,Kennen,Zac,Akshan,Zeri,Yuumi,False
107,NA1_4630540647,Riven,Hecarim,Seraphine,Jinx,Thresh,Urgot,Graves,Ekko,Tristana,Pyke,True
108,NA1_4630768435,Tristana,Maokai,Lissandra,Xayah,Rakan,Irelia,Graves,Lux,Karthus,Senna,False
109,NA1_4626366300,Rengar,Gragas,Yone,Caitlyn,Lux,Chogath,Kindred,Zoe,Ezreal,Lulu,False
110,NA1_4631139992,Rumble,LeeSin,Katarina,Xayah,Soraka,Kennen,Graves,Sett,Akshan,Rakan,False
111,NA1_4622108573,Jax,Sejuani,Orianna,Varus,Blitzcrank,KSante,JarvanIV,Aphelios,Sylas,Thresh,False
112,NA1_4627406817,Sejuani,MonkeyKing,Ahri,Samira,Nautilus,Illaoi,LeeSin,Akali,Sivir,Braum,False
113,NA1_4624357667,Garen,RekSai,Anivia,Samira,Nautilus,Darius,Tristana,FiddleSticks,Yasuo,Twitch,False
114,NA1_4618308824,Malphite,Lillia,Viktor,Jinx,Nautilus,Kennen,MasterYi,Sylas,Varus,Renata,False
115,NA1_4613016646,Fiora,Belveth,Morgana,Xayah,Karma,Gangplank,JarvanIV,Annie,Aphelios,Poppy,False
116,NA1_4624606579,Jayce,Talon,Rumble,Xayah,Rakan,Irelia,Viego,Sylas,Seraphine,Senna,False
117,NA1_4632006035,KSante,Evelynn,Syndra,Xayah,Rakan,Jax,LeeSin,Malzahar,Zeri,Yuumi,True
118,NA1_4618287146,Jayce,XinZhao,Diana,Aphelios,Soraka,Zilean,LeeSin,Kassadin,Kaisa,Pyke,False
119,NA1_4617350082,Shen,Lillia,Twitch,Xayah,Lulu,DrMundo,Vi,Katarina,Kaisa,Ashe,True
120,NA1_4629912429,KSante,Gragas,Ziggs,Yasuo,Rakan,Sylas,Karthus,Jayce,Darius,Nautilus,True
121,NA1_4622380015,Yone,JarvanIV,Zed,Ezreal,Xerath,Kennen,LeeSin,Leblanc,Vayne,Nautilus,True
