,0
890,NA1_4631962562
891,NA1_4619889160
892,NA1_4619699472
893,NA1_4617187124
894,NA1_4631346702
895,NA1_4629103277
896,NA1_4618524593
897,NA1_4612911502
898,NA1_4631470942
899,NA1_4616895599
900,NA1_4628590895
901,NA1_4632112944
902,NA1_4628537290
903,NA1_4625788778
904,NA1_4622730684
905,NA1_4625810787
906,NA1_4618159728
907,NA1_4624930304
908,NA1_4630774423
909,NA1_4631229901
910,NA1_4625792518
911,NA1_4619078026
912,NA1_4631611834
913,NA1_4625735373
914,NA1_4630559383
915,NA1_4616871470
916,NA1_4616068771
917,NA1_4629273897
918,NA1_4628152137
919,NA1_4606634667
920,NA1_4615826057
921,NA1_4612950163
922,NA1_4620895065
923,NA1_4626374795
924,NA1_4627549028
925,NA1_4631648371
926,NA1_4631933322
927,NA1_4608388584
928,NA1_4632117039
929,NA1_4625179515
930,NA1_4621061908
931,NA1_4624312141
932,NA1_4629566299
933,NA1_4618951266
934,NA1_4627929325
935,NA1_4617157720
936,NA1_4623728782
937,NA1_4626675742
938,NA1_4630735697
939,NA1_4628207869
940,NA1_4619096128
941,NA1_4616490000
942,NA1_4630948571
943,NA1_4628468866
944,NA1_4618022751
945,NA1_4626967659
946,NA1_4622315325
947,NA1_4624900498
948,NA1_4617220867
949,NA1_4620971388
950,NA1_4619792045
951,NA1_4620130391
952,NA1_4620331982
953,NA1_4620378121
954,NA1_4628808887
955,NA1_4631570403
956,NA1_4631291141
957,NA1_4624683525
958,NA1_4630012308
959,NA1_4630420540
960,NA1_4618716196
961,NA1_4631039103
962,NA1_4623259327
963,NA1_4621458013
964,NA1_4622850244
965,NA1_4620390123
966,NA1_4625524643
967,NA1_4607000883
968,NA1_4631926177
969,NA1_4622156096
970,NA1_4631198070
971,NA1_4631112324
972,NA1_4623332233
973,NA1_4627229145
974,NA1_4621787639
975,NA1_4627939830
976,NA1_4617587223
977,NA1_4631988084
978,NA1_4630314506
979,NA1_4618445726
980,NA1_4620854953
981,NA1_4616374836
982,NA1_4628061485
983,NA1_4626883057
984,NA1_4622707776
985,NA1_4623971781
986,NA1_4620568947
987,NA1_4628530890
988,NA1_4626648376
989,NA1_4620237720
990,NA1_4620390028
991,NA1_4631647982
992,NA1_4611152970
993,NA1_4627466741
994,NA1_4625563822
995,NA1_4614427184
996,NA1_4621991184
997,NA1_4627926482
998,NA1_4623122352
999,NA1_4631597255
1000,NA1_4629896446
1001,NA1_4618772466
1002,NA1_4617630972
1003,NA1_4619950268
1004,NA1_4631283241
1005,NA1_4619611953
1006,NA1_4628522825
1007,NA1_4630822205
1008,NA1_4631843070
1009,NA1_4629293336
1010,NA1_4618337210
1011,NA1_4630575115
1012,NA1_4631560875
1013,NA1_4618023654
1014,NA1_4627724471
1015,NA1_4630445817
1016,NA1_4615123172
1017,NA1_4619076783
1018,NA1_4627261443
1019,NA1_4619394361
1020,NA1_4621004082
1021,NA1_4627215996
1022,NA1_4631107770
1023,NA1_4620661375
1024,NA1_4629972612
1025,NA1_4623979581
1026,NA1_4630983945
1027,NA1_4610812755
1028,NA1_4617428298
1029,NA1_4618191126
1030,NA1_4628686147
1031,NA1_4630761887
1032,NA1_4629436358
1033,NA1_4619675632
1034,NA1_4613022136
1035,NA1_4626107540
1036,NA1_4626681601
1037,NA1_4620979624
1038,NA1_4617902429
1039,NA1_4617174790
1040,NA1_4621479890
1041,NA1_4630195060
1042,NA1_4629327892
1043,NA1_4629932186
1044,NA1_4624975803
1045,NA1_4628882337
1046,NA1_4629781076
1047,NA1_4626881079
1048,NA1_4630533257
1049,NA1_4630697209
1050,NA1_4606905558
1051,NA1_4617852810
1052,NA1_4629690995
1053,NA1_4618382804
1054,NA1_4631614603
1055,NA1_4620861441
1056,NA1_4620062233
1057,NA1_4623195661
1058,NA1_4631350850
1059,NA1_4628130615
1060,NA1_4628346281
1061,NA1_4630175183
1062,NA1_4617672224
1063,NA1_4624269182
1064,NA1_4632075547
1065,NA1_4631735874
1066,NA1_4630169930
1067,NA1_4632195546
1068,NA1_4618529507
1069,NA1_4619746813
1070,NA1_4627451246
1071,NA1_4627544029
1072,NA1_4620593272
1073,NA1_4629117931
1074,NA1_4628462758
1075,NA1_4629852175
1076,NA1_4626352503
1077,NA1_4614699682
1078,NA1_4616913498
1079,NA1_4625163344
1080,NA1_4621994955
1081,NA1_4626149317
1082,NA1_4620465345
1083,NA1_4627115149
1084,NA1_4612962384
1085,NA1_4629241734
1086,NA1_4631303464
1087,NA1_4630525254
1088,NA1_4632035595
1089,NA1_4629495286
1090,NA1_4612809819
1091,NA1_4626088953
